,city,lat,lng,state
0,New York,40.6943,-73.9249,New York
1,Los Angeles,34.1141,-118.4068,California
2,Chicago,41.8375,-87.6866,Illinois
3,Miami,25.784,-80.2101,Florida
4,Houston,29.786,-95.3885,Texas
5,Dallas,32.7935,-96.7667,Texas
6,Philadelphia,40.0077,-75.1339,Pennsylvania
7,Atlanta,33.7628,-84.422,Georgia
8,Washington,38.9047,-77.0163,District of Columbia
9,Boston,42.3188,-71.0852,Massachusetts
10,Phoenix,33.5722,-112.0892,Arizona
11,Detroit,42.3834,-83.1024,Michigan
12,Seattle,47.6211,-122.3244,Washington
13,San Francisco,37.7558,-122.4449,California
14,San Diego,32.8313,-117.1222,California
15,Minneapolis,44.9635,-93.2678,Minnesota
16,Tampa,27.9945,-82.4447,Florida
17,Brooklyn,40.6501,-73.9496,New York
18,Denver,39.762,-104.8758,Colorado
19,Queens,40.7498,-73.7976,New York
20,Riverside,33.9381,-117.3949,California
21,Las Vegas,36.2333,-115.2654,Nevada
22,Baltimore,39.3051,-76.6144,Maryland
23,St. Louis,38.6359,-90.2451,Missouri
24,Portland,45.5371,-122.65,Oregon
25,San Antonio,29.4632,-98.5238,Texas
26,Sacramento,38.5677,-121.4685,California
27,Austin,30.3005,-97.7522,Texas
28,Orlando,28.4773,-81.337,Florida
29,San Jose,37.3012,-121.848,California
30,Pittsburgh,40.4397,-79.9763,Pennsylvania
31,Indianapolis,39.7771,-86.1458,Indiana
32,Manhattan,40.7834,-73.9662,New York
33,Cincinnati,39.1413,-84.506,Ohio
34,Kansas City,39.1238,-94.5541,Missouri
35,Cleveland,41.4764,-81.6805,Ohio
36,Columbus,39.9862,-82.9855,Ohio
37,Bronx,40.8501,-73.8662,New York
38,Virginia Beach,36.7335,-76.0435,Virginia
39,Charlotte,35.2083,-80.8303,North Carolina
40,Milwaukee,43.0642,-87.9675,Wisconsin
41,Providence,41.823,-71.4187,Rhode Island
42,Jacksonville,30.3322,-81.6749,Florida
43,Nashville,36.1715,-86.7842,Tennessee
44,Salt Lake City,40.7776,-111.9311,Utah
45,Raleigh,35.8324,-78.6429,North Carolina
46,Richmond,37.5295,-77.4756,Virginia
47,Memphis,35.1087,-89.9663,Tennessee
48,Oklahoma City,35.4676,-97.5136,Oklahoma
49,Hartford,41.7661,-72.6834,Connecticut
50,Louisville,38.1663,-85.6485,Kentucky
51,Buffalo,42.9018,-78.8487,New York
52,New Orleans,30.0687,-89.9288,Louisiana
53,Fort Worth,32.7817,-97.3474,Texas
54,Bridgeport,41.1918,-73.1954,Connecticut
55,Tucson,32.1541,-110.8787,Arizona
56,El Paso,31.8476,-106.43,Texas
57,Omaha,41.2627,-96.0529,Nebraska
58,McAllen,26.2252,-98.2467,Texas
59,Hempstead,40.6629,-73.6089,New York
60,Birmingham,33.5279,-86.7971,Alabama
61,Albuquerque,35.1054,-106.6465,New Mexico
62,Tulsa,36.1283,-95.9042,Oklahoma
63,Fresno,36.783,-119.7939,California
64,Charleston,32.8168,-79.9687,South Carolina
65,Rochester,43.168,-77.6162,New York
66,Dayton,39.7805,-84.2003,Ohio
67,Cape Coral,26.6443,-81.9957,Florida
68,Mission Viejo,33.6096,-117.6551,California
69,Colorado Springs,38.8674,-104.7605,Colorado
70,Baton Rouge,30.442,-91.1311,Louisiana
71,Allentown,40.5961,-75.4756,Pennsylvania
72,Ogden,41.2279,-111.9682,Utah
73,Provo,40.2457,-111.6457,Utah
74,Knoxville,35.9692,-83.9496,Tennessee
75,Grand Rapids,42.9619,-85.6562,Michigan
76,Columbia,34.0378,-80.9036,South Carolina
77,Albany,42.6664,-73.7987,New York
78,Bakersfield,35.3529,-119.0359,California
79,New Haven,41.3113,-72.9246,Connecticut
80,Des Moines,41.5725,-93.6105,Iowa
81,Akron,41.0798,-81.5219,Ohio
82,Palm Bay,27.9631,-80.6593,Florida
83,Concord,37.9722,-122.0016,California
84,Wichita,37.6895,-97.3443,Kansas
85,Mesa,33.4015,-111.7178,Arizona
86,Harrisburg,40.2752,-76.8843,Pennsylvania
87,Staten Island,40.5834,-74.1496,New York
88,Toledo,41.6638,-83.5827,Ohio
89,Brookhaven,40.832,-72.9517,New York
90,Worcester,42.2705,-71.8079,Massachusetts
91,Long Beach,33.7977,-118.167,California
92,Port St. Lucie,27.2796,-80.3884,Florida
93,Little Rock,34.7256,-92.3577,Arkansas
94,Reno,39.5497,-119.8483,Nevada
95,Spokane,47.6671,-117.433,Washington
96,Madison,43.0822,-89.393,Wisconsin
97,Boise,43.6005,-116.2308,Idaho
98,Bonita Springs,26.3558,-81.7859,Florida
99,Denton,33.2175,-97.1418,Texas
100,Oakland,37.7904,-122.2166,California
101,Springfield,42.1155,-72.5395,Massachusetts
102,Augusta,33.3645,-82.0708,Georgia
103,Kissimmee,28.3041,-81.4169,Florida
104,Winston-Salem,36.1029,-80.261,North Carolina
105,Stockton,37.9765,-121.3109,California
106,Syracuse,43.0407,-76.1437,New York
107,Chattanooga,35.066,-85.2481,Tennessee
108,Lancaster,40.042,-76.3012,Pennsylvania
109,Greenville,34.8354,-82.3646,South Carolina
110,Durham,35.9792,-78.9022,North Carolina
111,Pensacola,30.4413,-87.1911,Florida
112,Fayetteville,36.0714,-94.1661,Arkansas
113,Arlington,32.6998,-97.125,Texas
114,Aurora,39.7083,-104.7237,Colorado
115,Oxnard,34.1964,-119.1815,California
116,Indio,33.7346,-116.2346,California
117,Scranton,41.4044,-75.6649,Pennsylvania
118,Victorville,34.5277,-117.3536,California
119,Trenton,40.2237,-74.7641,New Jersey
120,Modesto,37.6375,-121.0028,California
121,Huntsville,34.6981,-86.6412,Alabama
122,Honolulu,21.3294,-157.846,Hawaii
123,Greensboro,36.0956,-79.8271,North Carolina
124,Anaheim,33.839,-117.8574,California
125,Islip,40.7385,-73.1888,New York
126,Corpus Christi,27.7254,-97.3767,Texas
127,Fort Wayne,41.0888,-85.1436,Indiana
128,Fort Collins,40.5477,-105.0656,Colorado
129,Jackson,32.3157,-90.2125,Mississippi
130,Myrtle Beach,33.7094,-78.8844,South Carolina
131,Fayetteville,35.085,-78.9772,North Carolina
132,Antioch,37.9787,-121.796,California
133,Lansing,42.7142,-84.5601,Michigan
134,Lexington,38.0423,-84.4587,Kentucky
135,Mobile,30.6782,-88.1162,Alabama
136,Youngstown,41.0993,-80.6463,Ohio
137,Henderson,36.0133,-115.0381,Nevada
138,Savannah,32.0286,-81.1821,Georgia
139,Poughkeepsie,41.695,-73.9211,New York
140,Santa Ana,33.7367,-117.8819,California
141,Ann Arbor,42.2759,-83.731,Michigan
