index_name,Year,Date,State,Rating,Injuries,Death,Start_Lat,Start_Lon,End_Lat,End_Lon,Width
43,2022,2022-03-30,LA, 0,0,0,32,-91,32,-91,25
44,2022,2022-03-30,LA, 1,0,0,32,-91,32,-91,350
45,2022,2022-03-30,MS, 0,0,0,32,-88,32,-88,125
48,2022,2022-03-30,MS, 1,0,0,32,-89,32,-89,700
49,2022,2022-03-30,MS, 0,0,0,32,-90,32,-90,100
56,2022,2022-03-30,MS, 0,0,0,31,-89,31,-89,25
291,2022,2022-03-30,MS, 1,0,0,32,-90,32,-90,100
312,2022,2022-03-22,MS, 0,0,0,32,-90,32,-90,25
438,2022,2022-03-22,MS, 1,0,0,33,-89,33,-89,200
439,2022,2022-03-22,MS, 0,0,0,32,-89,32,-89,100
696,2022,2022-03-22,MS, 1,0,0,32,-89,32,-89,200
709,2022,2022-03-22,MS, 0,0,0,33,-89,33,-89,400
710,2022,2022-03-22,MS, 1,0,0,33,-88,33,-88,450
711,2022,2022-03-22,MS, 3,0,0,32,-88,32,-88,800
735,2022,2022-03-22,MS, 0,0,0,32,-88,32,-88,25
888,2022,2022-03-30,MS, 1,0,0,33,-90,33,-90,500
889,2022,2022-03-30,LA, 1,0,0,32,-91,32,-91,1000
918,2022,2022-03-30,MS, 1,0,0,32,-88,32,-88,250
923,2022,2022-03-30,MS, 1,0,0,32,-90,32,-90,350
924,2022,2022-03-30,MS, 1,0,0,33,-89,33,-89,250
925,2022,2022-03-30,MS, 1,0,0,31,-89,31,-89,425
949,2022,2022-03-30,MS, 2,0,0,30,-89,30,-89,500
963,2022,2022-03-30,MS, 1,0,0,32,-88,32,-88,50
1064,2022,2022-11-04,OK, 4,6,0,33,-94,34,-94,1056
1394,2022,2022-06-11,KS, 1,0,0,39,-96,39,-96,30
1395,2022,2022-06-07,KS, 1,0,0,39,-96,39,-96,75
1396,2022,2022-06-11,KS, 1,0,0,40,-96,39,-96,150
1397,2022,2022-06-11,KS, 1,0,0,39,-96,39,-96,100
1517,2022,2022-06-14,NE, 1,0,0,40,-96,40,-96,150
1832,2022,2022-03-30,LA, 1,0,0,32,-91,32,-91,100
1896,2022,2022-03-30,MS, 1,0,0,32,-90,32,-90,700
1897,2022,2022-03-30,MS, 1,0,0,32,-90,32,-90,350
2156,2022,2022-05-31,OK, 0,0,0,34,-99,34,-99,20
2206,2022,2022-05-31,OK, 1,0,0,34,-99,34,-99,200
2282,2022,2022-05-02,OK, 0,0,0,34,-98,34,-98,240
2283,2022,2022-05-02,OK, 1,0,0,36,-96,36,-96,500
2284,2022,2022-05-02,OK, 1,0,0,35,-96,35,-96,700
2836,2022,2022-10-25,LA, 2,0,0,30,-92,30,-92,170
3352,2022,2022-04-12,LA, 1,1,0,32,-91,32,-91,300
4057,2022,2022-01-01,TN, 1,0,0,34,-87,35,-86,150
5194,2022,2022-01-01,KY, 2,0,0,36,-87,36,-87,125
5421,2022,2022-01-09,AL, 0,0,0,31,-86,31,-86,100
5874,2022,2022-10-29,AL, 1,0,0,30,-88,30,-88,250
5875,2022,2022-10-29,AL, 1,0,0,30,-87,30,-87,40
5876,2022,2022-10-29,AL, 1,0,0,30,-87,30,-87,110
5877,2022,2022-10-29,AL, 0,0,0,30,-87,30,-87,20
5878,2022,2022-10-29,AL, 0,0,0,30,-87,30,-87,20
6073,2022,2022-10-29,AL, 0,0,0,30,-87,30,-87,20
6074,2022,2022-10-29,AL, 0,0,0,30,-88,30,-88,10
6075,2022,2022-10-29,AL, 0,0,0,30,-88,30,-88,110
6076,2022,2022-10-29,AL, 1,0,0,30,-87,30,-87,20
6077,2022,2022-10-29,AL, 0,0,0,30,-88,30,-88,20
6078,2022,2022-10-29,AL, 0,0,0,30,-88,30,-88,180
6644,2022,2022-01-01,KY, 0,0,0,36,-87,36,-87,50
6705,2022,2022-05-04,OK, 2,0,0,35,-96,35,-96,1760
6900,2022,2022-01-09,AL, 0,0,0,31,-86,31,-86,25
6901,2022,2022-01-09,AL, 0,0,0,31,-86,31,-86,25
7078,2022,2022-06-11,KS, 2,0,0,39,-96,39,-96,50
7185,2022,2022-04-12,LA, 1,0,0,32,-93,32,-93,125
7186,2022,2022-01-01,AL, 0,1,0,34,-86,34,-86,30
7208,2022,2022-06-11,KS, 1,0,0,39,-96,39,-96,50
7791,2022,2022-04-13,LA, 2,0,0,32,-92,32,-92,250
7795,2022,2022-04-13,LA, 2,0,0,32,-92,32,-92,625
8128,2022,2022-05-31,OK, 0,0,0,34,-100,34,-99,100
8140,2022,2022-10-29,MS, 1,0,0,30,-88,30,-88,150
8141,2022,2022-10-29,MS, 1,0,0,30,-88,30,-88,50
8341,2022,2022-10-29,MS, 1,0,0,30,-88,30,-88,250
8350,2022,2022-10-24,OK, 0,0,0,35,-96,35,-96,10
8467,2022,2022-04-12,LA, 1,0,0,32,-93,32,-93,400
8539,2022,2022-04-12,LA, 1,0,0,32,-93,32,-93,525
8614,2022,2022-04-12,LA, 0,0,0,32,-93,32,-93,50
8836,2022,2022-10-24,OK, 0,0,0,35,-97,35,-97,50
9127,2022,2022-02-17,AL, 0,0,0,33,-87,33,-87,290
9350,2022,2022-02-17,AL, 1,0,0,33,-86,33,-86,400
9351,2022,2022-02-17,AL, 1,0,0,33,-86,33,-86,400
11313,2022,2022-02-03,AL, 2,0,0,32,-88,32,-88,900
11314,2022,2022-02-03,AL, 0,0,0,32,-87,32,-87,800
11315,2022,2022-02-03,AL, 2,8,1,32,-87,32,-87,1700
11532,2022,2022-02-03,AL, 2,0,0,32,-87,32,-87,725
11533,2022,2022-02-03,AL, 2,0,0,32,-87,33,-87,725
11595,2022,2022-02-17,AL, 1,0,0,33,-87,33,-86,1100
11737,2022,2022-02-03,AL, 0,0,0,33,-87,33,-87,120
11738,2022,2022-02-03,AL, 0,0,0,32,-86,32,-86,100
11797,2022,2022-02-17,AL, 0,0,0,33,-86,33,-86,65
11935,2022,2022-02-17,AL, 1,0,0,33,-87,33,-87,475
12116,2022,2022-02-22,KY, 0,0,0,36,-89,36,-89,100
12119,2022,2022-02-03,AL, 0,0,0,32,-85,32,-85,100
12406,2022,2022-01-01,AL, 0,0,0,34,-86,34,-86,150
12772,2022,2022-01-01,AL, 1,0,0,34,-87,34,-87,150
13007,2022,2022-01-01,KY, 1,0,0,37,-85,37,-85,50
13185,2022,2022-01-01,KY, 1,0,0,37,-84,37,-84,125
13312,2022,2022-01-01,AL, 0,0,0,34,-87,34,-87,60
13313,2022,2022-01-01,AL, 0,0,0,34,-86,34,-86,150
13316,2022,2022-01-09,LA, 2,6,0,31,-93,31,-93,900
13346,2022,2022-01-01,KY, 1,0,0,37,-85,37,-85,150
13377,2022,2022-01-01,KY, 0,0,0,36,-87,36,-87,100
13524,2022,2022-01-01,KY, 1,0,0,37,-85,37,-85,350
13686,2022,2022-01-01,KY, 0,0,0,36,-86,36,-86,75
13751,2022,2022-01-01,KY, 1,0,0,37,-84,37,-84,140
13823,2022,2022-01-09,LA, 1,0,0,31,-93,31,-93,100
13848,2022,2022-01-01,KY, 0,0,0,37,-85,37,-85,50
14009,2022,2022-01-01,KY, 1,0,0,37,-85,37,-85,100
14270,2022,2022-02-22,AL, 0,0,0,34,-86,34,-86,110
16238,2022,2022-05-02,KS, 0,0,0,37,-99,37,-99,35
16239,2022,2022-05-06,AL, 1,0,0,30,-88,30,-88,25
16240,2022,2022-05-06,AL, 1,0,0,30,-87,30,-87,25
16483,2022,2022-05-02,KS, 0,0,0,37,-99,37,-99,25
17803,2022,2022-03-30,MS, 1,0,0,32,-88,32,-88,200
18469,2022,2022-04-12,IA, 1,0,0,41,-95,41,-95,140
18612,2022,2022-04-13,KY, 0,0,0,37,-87,37,-87,30
18645,2022,2022-04-05,AL, 0,0,0,31,-85,31,-85,25
18706,2022,2022-04-12,IA, 0,0,0,41,-95,41,-95,200
18773,2022,2022-03-22,AL, 0,0,0,33,-87,33,-87,100
18777,2022,2022-03-30,MS, 1,0,0,30,-88,30,-88,100
18780,2022,2022-04-05,MS, 2,0,0,31,-88,31,-88,250
18781,2022,2022-04-05,MS, 1,0,0,31,-88,31,-88,100
18849,2022,2022-04-29,KS, 0,0,0,38,-97,38,-97,50
18850,2022,2022-04-29,KS, 1,0,0,38,-97,38,-96,50
18860,2022,2022-04-13,KY, 0,0,0,36,-88,36,-88,50
18862,2022,2022-04-13,KY, 1,0,0,36,-88,36,-88,100
18863,2022,2022-04-13,KY, 0,0,0,36,-88,36,-88,25
18890,2022,2022-04-05,AL, 0,0,0,31,-85,31,-85,200
18891,2022,2022-04-05,AL, 0,0,0,31,-85,31,-85,200
18950,2022,2022-04-29,NE, 1,0,0,40,-96,40,-96,100
19005,2022,2022-03-22,AL, 0,0,0,32,-87,33,-87,430
19007,2022,2022-03-30,AL, 1,0,0,32,-88,32,-88,600
19083,2022,2022-04-13,KY, 1,0,0,36,-88,36,-88,150
19084,2022,2022-04-13,KY, 1,0,0,36,-88,36,-88,150
19085,2022,2022-04-13,KY, 0,0,0,36,-88,36,-88,25
19247,2022,2022-03-22,AL, 0,0,0,33,-87,33,-87,105
19248,2022,2022-03-22,AL, 0,0,0,33,-87,33,-87,100
19339,2022,2022-04-13,KY, 0,0,0,37,-87,37,-87,25
19514,2022,2022-03-30,MS, 0,0,0,30,-88,30,-88,50
19699,2022,2022-03-22,LA, 1,0,0,30,-89,30,-89,100
19706,2022,2022-04-29,NE, 1,0,0,40,-96,40,-96,100
19722,2022,2022-04-29,KS, 0,0,0,38,-97,38,-97,50
19723,2022,2022-04-29,KS, 1,0,0,38,-96,38,-96,50
19784,2022,2022-04-05,MS, 1,0,0,31,-88,31,-88,50
19975,2022,2022-03-22,LA, 0,0,0,29,-90,29,-90,100
19988,2022,2022-04-29,KS, 0,0,0,39,-96,39,-96,30
19989,2022,2022-04-29,KS, 1,0,0,39,-96,39,-96,30
19990,2022,2022-04-29,KS, 1,0,0,39,-96,39,-96,100
19991,2022,2022-04-29,KS, 1,0,0,39,-95,39,-95,40
20178,2022,2022-04-17,MS, 2,0,0,31,-88,31,-88,275
20401,2022,2022-04-05,AL, 1,0,0,32,-85,32,-85,250
20402,2022,2022-04-05,AL, 0,0,0,31,-86,31,-85,550
20403,2022,2022-03-30,LA, 1,0,0,30,-90,30,-90,150
20426,2022,2022-03-05,IA, 1,0,0,42,-92,42,-91,400
20427,2022,2022-03-05,IA, 1,0,0,41,-90,41,-90,300
20433,2022,2022-03-22,AL, 0,0,0,32,-87,32,-87,150
20434,2022,2022-03-22,AL, 0,0,0,32,-87,32,-87,250
20485,2022,2022-04-12,LA, 1,0,0,32,-93,32,-93,200
20598,2022,2022-04-05,AL, 0,0,0,31,-85,32,-85,550
20599,2022,2022-04-05,AL, 0,0,0,32,-85,32,-85,200
20606,2022,2022-04-05,AL, 1,0,0,31,-86,31,-86,1100
20642,2022,2022-03-22,AL, 0,0,0,33,-87,33,-87,175
20794,2022,2022-04-05,AL, 1,0,0,32,-85,32,-85,600
20802,2022,2022-04-05,AL, 2,0,0,31,-86,32,-86,1100
20803,2022,2022-04-05,AL, 0,0,0,32,-85,32,-85,110
20805,2022,2022-04-05,AL, 1,0,0,31,-85,31,-85,50
20843,2022,2022-03-22,LA, 0,0,0,29,-89,30,-89,100
21024,2022,2022-04-05,AL, 1,0,0,31,-85,31,-85,200
21143,2022,2022-03-09,AL, 1,0,0,31,-85,31,-85,280
21390,2022,2022-04-12,LA, 0,0,0,32,-93,32,-93,250
21570,2022,2022-03-30,LA, 0,0,0,30,-90,30,-90,50
21624,2022,2022-03-30,AL, 1,0,0,33,-87,33,-87,450
21701,2022,2022-04-05,AL, 0,0,0,31,-85,31,-85,50
21762,2022,2022-04-13,AL, 1,0,0,32,-87,32,-87,400
21833,2022,2022-04-13,AL, 0,0,0,32,-87,32,-87,50
21876,2022,2022-03-30,AL, 0,0,0,33,-87,33,-87,450
21948,2022,2022-04-12,NE, 1,0,0,40,-96,40,-96,40
21954,2022,2022-04-29,NE, 1,0,0,41,-97,41,-97,20
21977,2022,2022-04-05,AL, 2,0,0,32,-86,32,-86,900
21978,2022,2022-04-05,AL, 0,0,0,32,-86,32,-85,300
21983,2022,2022-04-13,AL, 1,0,0,32,-87,32,-87,400
21984,2022,2022-04-13,AL, 0,0,0,33,-87,33,-87,300
22322,2022,2022-05-21,LA, 1,0,0,32,-93,32,-93,200
22441,2022,2022-04-12,IA, 1,0,0,43,-93,43,-93,70
22459,2022,2022-03-30,AL, 0,0,0,32,-87,32,-87,175
22460,2022,2022-03-30,AL, 1,0,0,32,-87,32,-87,180
22595,2022,2022-04-13,KY, 0,0,0,38,-85,38,-85,60
22597,2022,2022-04-13,KY, 1,0,0,38,-85,38,-85,125
22679,2022,2022-04-23,IA, 1,0,0,41,-93,41,-93,80
22755,2022,2022-03-30,MS, 1,0,0,32,-91,32,-90,100
22922,2022,2022-04-05,LA, 1,0,0,32,-92,32,-92,150
23000,2022,2022-05-30,NE, 1,0,0,42,-97,42,-97,100
23175,2022,2022-04-05,LA, 0,0,0,32,-92,32,-92,75
23182,2022,2022-03-30,AL, 2,0,0,32,-87,32,-87,620
23429,2022,2022-04-23,KS, 1,0,0,39,-100,39,-100,125
23434,2022,2022-03-30,AL, 1,0,0,32,-87,32,-87,270
23435,2022,2022-03-30,AL, 1,0,0,33,-87,33,-87,400
23682,2022,2022-04-17,MS, 1,0,0,31,-88,31,-88,50
23695,2022,2022-04-23,IA, 0,0,0,41,-93,41,-93,80
23696,2022,2022-04-23,IA, 0,0,0,41,-93,41,-93,60
23769,2022,2022-03-30,MS, 1,0,0,32,-91,32,-91,100
23869,2022,2022-05-25,MS, 0,0,0,32,-89,32,-89,150
23960,2022,2022-04-23,IA, 0,0,0,41,-93,41,-93,75
24125,2022,2022-05-25,MS, 0,0,0,32,-89,32,-89,100
24168,2022,2022-04-29,KS, 1,0,0,37,-96,37,-96,100
24416,2022,2022-04-12,IA, 0,0,0,42,-93,42,-93,100
24417,2022,2022-04-12,IA, 1,0,0,43,-93,43,-93,100
24853,2022,2022-05-04,OK, 1,0,0,35,-96,35,-96,1350
24854,2022,2022-05-04,OK, 1,0,0,35,-96,35,-96,150
24904,2022,2022-04-12,IA, 1,0,0,42,-94,42,-94,300
24906,2022,2022-04-22,KS, 1,0,0,38,-101,38,-101,350
25068,2022,2022-04-13,KY, 1,0,0,37,-85,37,-85,200
25071,2022,2022-04-13,KY, 1,0,0,38,-85,38,-85,175
25072,2022,2022-04-13,KY, 0,0,0,38,-85,38,-85,30
25073,2022,2022-04-13,KY, 0,0,0,38,-85,38,-85,50
25075,2022,2022-04-13,KY, 1,0,0,38,-85,38,-85,100
25112,2022,2022-05-05,OK, 1,0,0,35,-95,35,-95,450
25162,2022,2022-04-12,IA, 2,0,0,42,-94,42,-94,250
25165,2022,2022-04-23,KS, 1,0,0,39,-100,39,-100,125
25166,2022,2022-04-22,KS, 0,0,0,39,-101,39,-101,100
25235,2022,2022-03-30,AL, 1,0,0,31,-88,31,-88,150
25400,2022,2022-04-12,IA, 2,1,0,42,-94,42,-94,450
25405,2022,2022-04-22,KS, 0,0,0,39,-101,39,-101,100
25816,2022,2022-05-02,OK, 1,0,0,34,-94,35,-94,1400
25872,2022,2022-04-23,KS, 1,0,0,39,-100,39,-100,125
25884,2022,2022-03-30,AL, 1,0,0,32,-88,32,-87,275
26016,2022,2022-04-13,KY, 0,0,0,37,-85,37,-85,200
26063,2022,2022-03-05,IA, 0,0,0,41,-95,41,-95,17
26066,2022,2022-04-23,OK, 0,0,0,35,-97,35,-97,30
26067,2022,2022-04-23,OK, 0,0,0,35,-97,35,-97,20
26080,2022,2022-04-23,OK, 0,0,0,35,-97,35,-97,30
26169,2022,2022-05-26,KY, 1,0,0,38,-82,38,-82,60
26396,2022,2022-03-30,AL, 3,0,0,32,-87,32,-87,1200
26496,2022,2022-04-05,AL, 1,0,0,31,-87,31,-87,75
26809,2022,2022-04-12,IA, 0,0,0,43,-92,43,-92,50
26810,2022,2022-04-12,IA, 0,0,0,43,-92,43,-92,50
26936,2022,2022-05-25,AL, 0,0,0,34,-86,34,-86,65
26937,2022,2022-05-26,AL, 1,0,0,34,-86,34,-86,65
27003,2022,2022-04-12,IA, 1,0,0,43,-92,43,-92,250
27265,2022,2022-04-17,MS, 2,1,0,31,-88,31,-88,400
27539,2022,2022-04-24,OK, 0,0,0,34,-97,34,-97,50
27642,2022,2022-03-30,AL, 3,1,0,32,-87,33,-86,1200
27643,2022,2022-03-30,AL, 1,1,0,33,-86,33,-86,450
27876,2022,2022-04-05,AL, 2,0,0,31,-88,31,-88,800
28102,2022,2022-04-12,IA, 0,0,0,43,-92,43,-92,125
28103,2022,2022-04-05,AL, 2,0,0,31,-86,31,-86,250
28163,2022,2022-04-13,OK, 1,1,0,35,-94,35,-94,700
28336,2022,2022-04-12,IA, 1,0,0,43,-92,43,-92,325
28436,2022,2022-03-05,IA, 0,0,0,41,-90,41,-90,25
28654,2022,2022-03-30,AL, 2,0,0,31,-88,32,-88,350
28801,2022,2022-03-30,AL, 1,0,0,33,-86,33,-86,135
28802,2022,2022-03-30,AL, 2,0,0,32,-88,32,-87,1350
28805,2022,2022-04-29,NE, 0,0,0,40,-97,40,-97,35
28806,2022,2022-04-29,NE, 0,0,0,40,-97,40,-97,35
28910,2022,2022-06-30,LA, 0,0,0,30,-92,30,-92,10
28982,2022,2022-03-30,AL, 0,0,0,32,-86,32,-86,125
28985,2022,2022-03-22,LA, 0,0,0,29,-90,29,-90,100
29025,2022,2022-11-29,MS, 1,0,0,31,-90,31,-90,200
29172,2022,2022-04-12,IA, 1,0,0,43,-92,43,-92,325
29231,2022,2022-04-05,AL, 1,0,0,31,-88,31,-88,100
29388,2022,2022-04-12,IA, 0,0,0,43,-92,43,-91,125
29410,2022,2022-03-22,LA, 3,2,1,29,-90,29,-89,320
29469,2022,2022-11-29,MS, 1,0,0,33,-89,33,-89,330
30193,2022,2022-03-22,AL, 0,0,0,34,-87,34,-87,140
30471,2022,2022-03-30,OK, 0,0,0,34,-95,34,-95,100
30504,2022,2022-03-05,IA, 2,0,0,41,-93,41,-93,500
30740,2022,2022-03-05,IA, 2,0,0,41,-93,41,-93,400
31007,2022,2022-03-30,LA, 0,0,0,31,-93,31,-93,100
31008,2022,2022-03-30,LA, 0,0,0,31,-93,31,-93,100
31221,2022,2022-03-05,IA, 2,0,0,41,-93,41,-93,400
31227,2022,2022-03-30,LA, 1,0,0,31,-93,31,-92,85
31264,2022,2022-03-30,LA, 1,0,0,32,-93,32,-92,200
31265,2022,2022-03-30,LA, 1,0,0,32,-92,32,-92,400
31401,2022,2022-06-08,KS, 0,0,0,38,-94,38,-94,75
31420,2022,2022-03-18,KY, 0,0,0,37,-86,37,-86,80
31421,2022,2022-03-18,KY, 1,0,0,37,-86,37,-85,100
31480,2022,2022-03-05,IA, 2,0,0,40,-93,40,-93,300
31528,2022,2022-03-30,LA, 0,0,0,31,-93,31,-92,50
31529,2022,2022-03-30,LA, 1,0,0,32,-92,32,-92,200
31660,2022,2022-06-08,KS, 0,0,0,38,-94,38,-94,75
31661,2022,2022-06-08,KS, 1,0,0,38,-94,38,-94,125
31682,2022,2022-03-18,KY, 0,0,0,37,-85,38,-85,80
31683,2022,2022-03-18,KY, 1,0,0,37,-85,37,-85,100
31736,2022,2022-03-05,IA, 2,0,0,40,-93,40,-93,200
