index_name,Year,Date,State,Rating,Injuries,Death,Start_Lat,Start_Lon,End_Lat,End_Lon,Width
0,2023,2023-08-05,IL,U,0,0,39.02,-87.97,39.0214,-87.9689,20
1,2023,2023-01-12,AL,0,0,0,32.723,-87.474,32.7427,-87.4061,360
2,2023,2023-01-03,AL,0,0,0,32.993,-86.515,33.0059,-86.4899,150
3,2023,2023-06-17,OK,U,0,0,36.914,-98.422,36.922,-98.398,30
4,2023,2023-01-03,IL,0,0,0,40.0109,-89.0144,40.0136,-89.0096,25
5,2023,2023-07-10,WA,0,0,0,47.7504,-118.7593,47.75,-118.74,40
6,2023,2023-06-18,OK,0,0,0,36.7631,-100.0189,36.75,-100.0,25
7,2023,2023-07-26,MI,0,0,0,42.4246,-84.1361,42.426,-84.129,75
8,2023,2023-03-31,IL,1,0,0,41.6381,-89.2287,41.7106,-89.1141,75
9,2023,2023-03-31,IL,1,0,0,42.3489,-88.9027,42.4932,-88.7232,150
10,2023,2023-04-02,TX,0,0,0,31.3458,-96.6184,31.3464,-96.612,33
11,2023,2023-03-31,IL,U,0,0,40.9559,-88.6529,40.9562,-88.6525,15
12,2023,2023-01-12,GA,2,0,0,33.0736,-85.2254,33.0972,-85.088,1600
13,2023,2023-03-31,IL,2,0,0,41.6508,-89.3128,41.7302,-89.1674,350
14,2023,2023-01-12,GA,1,0,0,33.2147,-84.4352,33.208,-84.4,300
15,2023,2023-05-27,NM,U,0,0,33.43,-103.23,33.43,-103.22,50
16,2023,2023-05-27,NM,U,0,0,33.4,-103.14,33.4,-103.08,50
17,2023,2023-08-13,IL,0,0,0,38.167,-90.057,38.167,-90.05,10
18,2023,2023-05-12,NE,U,0,0,41.4879,-100.2,41.4893,-100.2,1
19,2023,2023-05-12,NE,1,0,0,41.8299,-98.5221,41.8666,-98.5574,50
20,2023,2023-05-12,NE,U,0,0,41.8337,-98.7521,41.8348,-98.7535,50
21,2023,2023-05-12,NE,1,0,0,41.62,-99.87,41.6609,-99.9248,100
22,2023,2023-05-12,NE,U,0,0,41.5168,-100.2,41.5183,-100.2,10
23,2023,2023-05-12,NE,U,0,0,41.69,-100.32,41.691,-100.321,10
24,2023,2023-05-12,NE,2,0,0,42.0895,-98.713,42.16,-98.79,75
25,2023,2023-04-22,NC,0,0,0,35.532,-80.882,35.568,-80.753,30
26,2023,2023-03-31,IN,1,0,0,40.815,-86.5572,40.8289,-86.5305,300
27,2023,2023-03-31,OH,0,0,0,41.2016,-84.6876,41.2129,-84.6855,150
28,2023,2023-03-31,IN,3,0,0,40.4811,-85.5929,40.5368,-85.4991,200
29,2023,2023-03-31,IN,2,0,0,41.109,-85.0286,41.1844,-84.9194,400
30,2023,2023-03-31,IN,0,0,0,41.1961,-84.9,41.2028,-84.8799,75
31,2023,2023-03-31,IN,2,0,0,40.5062,-85.8434,40.5053,-85.7849,150
32,2023,2023-03-31,IN,0,0,0,40.4677,-84.9436,40.4851,-84.9031,100
33,2023,2023-03-01,AL,1,0,0,34.9504,-86.5074,34.9509,-86.5051,25
34,2023,2023-07-12,NE,1,0,0,41.727,-97.013,41.724,-97.011,50
35,2023,2023-07-12,NE,1,0,0,42.0181,-96.5776,42.014,-96.5688,90
36,2023,2023-07-12,IA,1,0,0,41.669,-95.495,41.668,-95.485,50
37,2023,2023-07-12,NE,0,0,0,41.813,-96.27,41.812,-96.247,15
38,2023,2023-07-12,IA,2,0,0,41.592,-95.776,41.563,-95.599,100
39,2023,2023-01-03,MS,1,0,0,31.7617,-89.1008,31.773,-89.0584,365
40,2023,2023-07-12,IA,1,0,0,41.43,-95.358,41.428,-95.329,40
41,2023,2023-02-16,MS,1,0,0,34.0608,-88.4525,34.0741,-88.4289,100
42,2023,2023-02-16,TN,1,0,0,35.0939,-88.6307,35.1025,-88.5764,105
43,2023,2023-06-17,AL,0,0,0,30.6037,-87.555,30.5979,-87.5121,820
44,2023,2023-06-15,AL,0,0,0,30.6182,-87.7945,30.6169,-87.7899,75
45,2023,2023-06-16,AL,1,0,0,31.0091,-87.9701,30.958,-87.8678,30
46,2023,2023-06-26,NJ,1,0,0,40.7109,-74.5804,40.7286,-74.5689,475
47,2023,2023-08-06,IL,2,0,0,39.632,-89.5349,39.575,-89.101,450
48,2023,2023-09-23,NC,0,0,0,36.33,-76.53,36.334,-76.5369,50
49,2023,2023-08-13,AZ,0,0,0,32.3209,-111.3535,32.3224,-111.3536,25
50,2023,2023-04-01,NJ,1,0,0,40.1525,-74.6461,40.1525,-74.6461,300
51,2023,2023-09-13,CT,0,0,0,41.8109,-71.8178,41.8183,-71.7905,70
