index_name,Year,Date,State,Rating,Injuries,Death,Start_Lat,Start_Lon,End_Lat,End_Lon,Width
0,1979,1979-03-18,KS,1,0,0,39,-96,39,-96,150
1,1979,1979-03-18,OK,2,0,0,36,-95,36,-95,33
2,1979,1979-03-18,OK,3,0,0,36,-95,36,-95,30
3,1979,1979-03-19,OK,1,0,0,34,-95,34,-95,30
4,1979,1979-03-29,IA,2,0,0,41,-93,41,-93,60
5,1979,1979-03-29,IA,3,1,0,40,-94,40,-94,500
6,1979,1979-03-29,IA,3,4,0,40,-94,41,-93,500
7,1979,1979-03-29,KS,0,0,0,39,-95,39,-95,50
8,1979,1979-03-31,KY,3,19,1,37,-86,37,-85,100
9,1979,1979-04-10,OK,1,0,0,34,-98,34,-98,100
10,1979,1979-04-10,OK,2,1,0,34,-98,34,-98,120
11,1979,1979-04-10,OK,2,0,0,35,-96,35,-96,100
12,1979,1979-04-10,OK,3,0,0,34,-97,34,-97,170
13,1979,1979-04-10,OK,3,100,3,34,-98,34,-98,170
14,1979,1979-04-11,KS,1,1,0,39,-95,39,-95,30
15,1979,1979-04-11,KY,2,5,0,37,-88,37,-87,200
16,1979,1979-04-11,OK,2,20,0,34,-94,34,-94,440
17,1979,1979-04-12,MS,2,0,0,33,-88,33,-88,800
18,1979,1979-04-19,KS,1,0,0,39,-99,40,-99,200
19,1979,1979-04-19,KS,2,0,0,39,-99,39,-99,400
20,1979,1979-04-19,NE,3,0,0,41,-98,41,-98,17
21,1979,1979-04-21,LA,1,2,0,29,-91,29,-91,10
22,1979,1979-05-02,OK,2,0,0,36,-98,36,-98,1760
23,1979,1979-05-02,OK,3,0,0,36,-97,36,-97,120
24,1979,1979-05-02,OK,4,25,1,36,-98,36,-98,880
25,1979,1979-05-03,TN,2,5,0,35,-89,35,-89,73
26,1979,1979-05-26,IA,1,0,0,42,-96,42,-95,20
27,1979,1979-05-30,AL,1,1,0,33,-87,33,-86,20
28,1979,1979-06-09,IA,1,0,0,42,-91,42,-91,30
29,1979,1979-06-16,KS,1,0,0,39,-100,39,-100,33
30,1979,1979-06-19,NE,0,0,0,40,-97,40,-97,10
31,1979,1979-06-20,IA,0,0,0,40,-92,40,-92,30
32,1979,1979-06-22,KS,0,0,0,37,-100,37,-99,13
33,1979,1979-06-26,NE,0,0,0,41,-103,41,-103,20
34,1979,1979-06-28,IA,1,0,0,43,-94,43,-94,40
35,1979,1979-06-28,IA,1,0,0,42,-94,42,-94,33
36,1979,1979-06-28,IA,1,0,0,42,-94,42,-93,300
37,1979,1979-06-28,IA,1,0,0,41,-94,41,-94,40
38,1979,1979-06-28,IA,2,10,0,42,-93,42,-93,350
39,1979,1979-06-28,IA,3,34,2,43,-94,43,-94,300
40,1979,1979-06-28,IA,4,26,3,42,-94,42,-94,33
41,1979,1979-06-29,KY,1,0,0,38,-85,38,-84,100
42,1979,1979-06-29,KY,2,7,0,38,-84,38,-84,40
43,1979,1979-06-30,LA,1,1,0,31,-91,31,-91,200
44,1979,1979-07-07,NE,1,0,0,41,-100,41,-99,100
45,1979,1979-07-07,NE,1,0,0,42,-99,41,-99,100
46,1979,1979-07-07,NE,2,1,0,42,-99,42,-99,300
47,1979,1979-07-11,AL,2,4,0,31,-86,31,-86,100
48,1979,1979-07-30,IA,1,0,0,42,-95,42,-95,100
49,1979,1979-08-02,KS,0,0,0,38,-101,38,-101,50
50,1979,1979-08-05,IA,1,1,0,41,-90,41,-90,300
51,1979,1979-08-19,IA,1,0,0,42,-93,42,-93,100
52,1979,1979-08-20,NE,0,0,0,40,-98,40,-98,10
53,1979,1979-08-20,NE,0,0,0,40,-98,40,-97,10
54,1979,1979-08-21,OK,0,0,0,36,-99,36,-98,10
