,Year,Date,State,Rating,Injuries,Death,Start Lat,Start Lon,End Lat,End Lon,W in Yds
19361,1979,1979-03-18,KS,1,0,0,39.93,-96.72,39.98,-96.65,150
19363,1979,1979-03-18,OK,2,0,0,36.17,-95.78,36.17,-95.75,33
19364,1979,1979-03-18,OK,3,0,0,36.9,-95.93,36.92,-95.8,30
19372,1979,1979-03-19,OK,1,0,0,34.02,-95.63,34.08,-95.48,30
19388,1979,1979-03-29,IA,2,0,0,41.43,-93.5,41.52,-93.35,60
19389,1979,1979-03-29,IA,3,1,0,40.58,-94.95,40.9,-94.57,500
19390,1979,1979-03-29,IA,3,4,0,40.77,-94.38,41.37,-93.63,500
19391,1979,1979-03-29,KS,0,0,0,39.75,-95.37,39.78,-95.3,50
19397,1979,1979-03-31,KY,3,19,1,37.02,-86.08,37.08,-85.87,100
19443,1979,1979-04-10,OK,1,0,0,34.47,-98.62,34.5,-98.5,100
19444,1979,1979-04-10,OK,2,1,0,34.35,-98.9,34.4,-98.75,120
19446,1979,1979-04-10,OK,2,0,0,35.42,-96.75,35.47,-96.72,100
19448,1979,1979-04-10,OK,3,0,0,34.35,-97.6,34.5,-97.47,170
19449,1979,1979-04-10,OK,3,100,3,34.57,-98.42,34.62,-98.37,170
19480,1979,1979-04-11,KS,1,1,0,39.1,-95.73,39.15,-95.68,30
19481,1979,1979-04-11,KY,2,5,0,37.15,-88.18,37.38,-87.85,200
19493,1979,1979-04-11,OK,2,20,0,34.0,-94.6,34.47,-94.13,440
19501,1979,1979-04-12,MS,2,0,0,33.53,-88.4,33.58,-88.28,800
19513,1979,1979-04-19,KS,1,0,0,39.95,-99.45,40.0,-99.4,200
19514,1979,1979-04-19,KS,2,0,0,39.47,-99.83,39.53,-99.78,400
19516,1979,1979-04-19,NE,3,0,0,41.6,-98.48,41.72,-98.33,17
19521,1979,1979-04-21,LA,1,2,0,29.88,-91.93,29.95,-91.88,10
19534,1979,1979-05-02,OK,2,0,0,36.35,-98.65,36.27,-98.3,1760
19536,1979,1979-05-02,OK,3,0,0,36.18,-97.73,36.2,-97.58,120
19537,1979,1979-05-02,OK,4,25,1,36.45,-98.35,36.35,-98.0,880
19546,1979,1979-05-03,TN,2,5,0,35.88,-89.23,35.92,-89.07,73
19622,1979,1979-05-26,IA,1,0,0,42.82,-96.0,42.77,-95.95,20
19633,1979,1979-05-30,AL,1,1,0,33.45,-87.03,33.68,-86.68,20
19663,1979,1979-06-09,IA,1,0,0,42.05,-91.83,42.1,-91.68,30
19669,1979,1979-06-16,KS,1,0,0,39.23,-100.08,39.28,-100.02,33
19688,1979,1979-06-19,NE,0,0,0,40.43,-97.72,40.47,-97.67,10
19706,1979,1979-06-20,IA,0,0,0,40.78,-92.42,40.83,-92.37,30
19719,1979,1979-06-22,KS,0,0,0,37.68,-100.0,37.72,-99.98,13
19728,1979,1979-06-26,NE,0,0,0,41.05,-103.88,41.12,-103.82,20
19746,1979,1979-06-28,IA,1,0,0,43.3,-94.48,43.22,-94.45,40
19747,1979,1979-06-28,IA,1,0,0,42.97,-94.25,42.92,-94.2,33
19748,1979,1979-06-28,IA,1,0,0,42.92,-94.07,42.65,-93.82,300
19749,1979,1979-06-28,IA,1,0,0,41.67,-94.2,41.53,-94.02,40
19750,1979,1979-06-28,IA,2,10,0,42.52,-93.8,42.42,-93.73,350
19752,1979,1979-06-28,IA,3,34,2,43.25,-94.25,43.02,-94.22,300
19753,1979,1979-06-28,IA,4,26,3,42.63,-94.6,42.45,-94.43,33
19777,1979,1979-06-29,KY,1,0,0,38.15,-85.32,38.27,-84.98,100
19778,1979,1979-06-29,KY,2,7,0,38.27,-84.85,38.4,-84.28,40
19782,1979,1979-06-30,LA,1,1,0,31.33,-91.58,31.47,-91.53,200
19809,1979,1979-07-07,NE,1,0,0,41.85,-100.02,41.5,-99.58,100
19810,1979,1979-07-07,NE,1,0,0,42.0,-99.67,41.77,-99.22,100
19811,1979,1979-07-07,NE,2,1,0,42.55,-99.78,42.45,-99.58,300
19823,1979,1979-07-11,AL,2,4,0,31.4,-86.62,31.48,-86.55,100
19910,1979,1979-07-30,IA,1,0,0,42.28,-95.65,42.18,-95.2,100
19921,1979,1979-08-02,KS,0,0,0,38.03,-101.35,38.1,-101.18,50
19935,1979,1979-08-05,IA,1,1,0,41.87,-90.38,41.83,-90.35,300
19983,1979,1979-08-19,IA,1,0,0,42.42,-93.87,42.47,-93.78,100
19991,1979,1979-08-20,NE,0,0,0,40.52,-98.25,40.65,-98.15,10
19992,1979,1979-08-20,NE,0,0,0,40.33,-98.07,40.42,-97.98,10
19998,1979,1979-08-21,OK,0,0,0,36.05,-99.03,36.15,-98.93,10
20021,1979,1979-08-26,IA,1,0,0,41.73,-92.95,41.8,-92.88,200
